period,channel,scope,samples,raw_min,raw_max,raw_p01,raw_median,raw_p99,scaled_median,scaled_p99,clip_fraction,step_p99,step_p999,step_max
training,channel_14,all,5261760,0.08599312603473663,0.34858766198158264,0.13125371932983398,0.229310542345047,0.3401276767253876,0.0,1.3603028059005737,0.0,0.1110837459564209,0.259332537651062,0.38998520374298096
training,channel_14,mission_nominal,4735240,0.12219759076833725,0.34858766198158264,0.13125371932983398,0.229310542345047,0.336745023727417,0.0,1.3187800645828247,0.0,0.11108356714248657,0.259332537651062,0.38998520374298096
training,channel_21,all,5261760,0.0905211940407753,0.3756488859653473,0.13426797091960907,0.23685956001281738,0.34858766198158264,0.0,1.3973357677459717,0.0,0.11317755281925201,0.2829856276512146,0.416268527507782
training,channel_21,mission_nominal,4735240,0.12371140718460083,0.3756488859653473,0.13426797091960907,0.23685956001281738,0.34520500898361206,0.0,1.3550304174423218,0.0,0.11317755281925201,0.2829856276512146,0.416268527507782
training,channel_29,all,5261760,0.09957063943147659,0.3756488859653473,0.161422997713089,0.24741612374782562,0.3519703149795532,-0.01884889043867588,1.2887661457061768,0.0,0.1131775975227356,0.28306955099105835,0.4351176619529724
training,channel_29,mission_nominal,4735240,0.1523735523223877,0.3756488859653473,0.161422997713089,0.24892324209213257,0.34858766198158264,0.0,1.2464606761932373,0.0,0.1131775826215744,0.28306955099105835,0.4351176619529724
calibration,channel_14,all,259200,0.20215551555156708,0.29720479249954224,0.20970453321933746,0.26702880859375,0.28664153814315796,0.4629993736743927,0.7037495970726013,0.0,0.09266572445631027,0.2963328957557678,0.555500864982605
calibration,channel_14,mission_nominal,239829,0.2081907093524933,0.29720479249954224,0.20970453321933746,0.26702880859375,0.28664153814315796,0.4629993736743927,0.7037495970726013,0.0,0.09266572445631027,0.2963328957557678,0.35191595554351807
calibration,channel_21,all,259200,0.19461320340633392,0.30323997139930725,0.2172468602657318,0.27457115054130554,0.29720479249954224,0.47164279222488403,0.7547121047973633,0.0,0.1132614016532898,0.2829856276512146,0.6037529110908508
calibration,channel_21,mission_nominal,239829,0.21573303639888763,0.30323997139930725,0.2172468602657318,0.2730640172958374,0.29569095373153687,0.4527937173843384,0.7357791662216187,0.0,0.1132614016532898,0.2829856276512146,0.3584652543067932
calibration,channel_29,all,259200,0.2051764726638794,0.29720479249954224,0.23836667835712433,0.27759209275245667,0.29720479249954224,0.35854917764663696,0.6038368940353394,0.0,0.11326143145561218,0.2452877163887024,0.8113430142402649
calibration,channel_29,mission_nominal,239829,0.23685956001281738,0.29720479249954224,0.23836667835712433,0.27759209275245667,0.29720479249954224,0.35854917764663696,0.6038368940353394,0.0,0.1131775826215744,0.2452877163887024,0.33961641788482666
assessment,channel_14,all,792000,0.25948649644851685,0.3756488859653473,0.2625007629394531,0.32659703493118286,0.36888357996940613,1.1942113637924194,1.713287353515625,0.0,0.11116611957550049,0.26985669136047363,0.40856754779815674
assessment,channel_14,mission_nominal,639972,0.25948649644851685,0.3756488859653473,0.2625007629394531,0.3198317289352417,0.36888357996940613,1.1111658811569214,1.713287353515625,0.0,0.10384845733642578,0.26985669136047363,0.40856754779815674
assessment,channel_21,all,792000,0.24590899050235748,0.40271684527397156,0.26702880859375,0.3350570499897003,0.3756488859653473,1.2281142473220825,1.735779047012329,0.0,0.10572159290313721,0.3041801452636719,0.42313826084136963
assessment,channel_21,mission_nominal,639972,0.2625007629394531,0.40271684527397156,0.26552170515060425,0.3249090611934662,0.3756488859653473,1.101197600364685,1.735779047012329,0.0,0.10572159290313721,0.31733250617980957,0.42313826084136963
assessment,channel_29,all,792000,0.2760782539844513,0.40271684527397156,0.2881486415863037,0.34351032972335815,0.3756488859653473,1.1829606294631958,1.5849039554595947,0.0,0.10572159290313721,0.29613780975341797,0.4231383800506592
assessment,channel_29,mission_nominal,639972,0.2851344048976898,0.40271684527397156,0.2881486415863037,0.3418223559856415,0.3756488859653473,1.161849856376648,1.5849039554595947,0.0,0.1131775975227356,0.29613780975341797,0.4231383800506592
