fold,variant,start,kind,peak_score,seconds,channel,error,dominant,nearest_annotation_seconds,peak_over_threshold
2004,baseline,2004-05-06 06:40:00+00:00,false_alarm,3.30574893951416,960.0,channel_43,3.30574893951416,True,624464.544,1.0554175597992888
2004,baseline,2004-05-09 02:40:00+00:00,false_alarm,4.232997894287109,4800.0,channel_44,4.232997894287109,True,512527.551,1.3514578360208507
2004,baseline,2004-05-15 01:52:00+00:00,event_overlap,3.7826080322265625,3840.0,channel_44,3.7826080322265625,True,0.0,1.2076630778974033
2004,baseline,2004-07-16 08:32:00+00:00,false_alarm,3.62292742729187,2880.0,channel_41,3.622927188873291,True,773024.553,1.1566822812637014
2004,baseline,2004-08-22 23:44:00+00:00,event_overlap,4.046478271484375,7680.0,channel_41,4.046477794647217,True,0.0,1.2919082184440005
2004,baseline,2004-08-27 09:20:00+00:00,false_alarm,3.902632713317871,2880.0,channel_43,3.902632713317871,True,366172.461,1.2459830345398744
2004,baseline,2004-08-27 23:44:00+00:00,false_alarm,3.9478628635406494,2880.0,channel_41,3.9478628635406494,True,418012.461,1.2604235427729331
2004,baseline,2004-09-15 17:20:00+00:00,event_overlap,4.721992015838623,16320.0,channel_43,4.721991539001465,True,0.0,1.5075776720904175
2004,baseline,2004-09-16 01:20:00+00:00,event_overlap,3.9109561443328857,2880.0,channel_45,3.910956382751465,True,0.0,1.2486404339406636
2004,baseline,2004-10-23 05:36:00+00:00,false_alarm,3.544165849685669,2880.0,channel_44,3.544165849685669,True,979885.152,1.1315362845276953
2004,baseline,2004-10-31 17:20:00+00:00,false_alarm,3.358062028884888,1920.0,channel_46,3.358063220977783,True,247405.152,1.0721194189360357
2004,baseline,2004-11-04 11:12:00+00:00,event_overlap,3.630657434463501,2880.0,channel_45,3.63065767288208,True,0.0,1.159150219832416
2004,baseline,2004-11-23 13:20:00+00:00,false_alarm,3.5639467239379883,1920.0,channel_42,3.563946485519409,True,668295.429,1.137851670969942
2004,baseline,2004-12-02 01:36:00+00:00,event_overlap,114.66767120361328,605760.0,channel_43,114.66767120361328,True,0.0,36.60963852486968
2004,baseline,2004-12-17 11:28:00+00:00,false_alarm,3.274026393890381,960.0,channel_45,3.274026393890381,True,66929.571,1.0452895881034734
