,channel_1,channel_12,channel_13,channel_14,channel_15,channel_16,channel_17,channel_18,channel_19,channel_2,channel_20,channel_21,channel_22,channel_23,channel_24,channel_25,channel_26,channel_27,channel_28,channel_29,channel_3,channel_30,channel_31,channel_32,channel_33,channel_34,channel_35,channel_36,channel_37,channel_38,channel_39,channel_40,channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47,channel_48,channel_49,channel_50,channel_51,channel_52,channel_53,channel_54,channel_55,channel_56,channel_57,channel_58,channel_59,channel_60,channel_61,channel_62,channel_63,channel_64,channel_65,channel_66,channel_67,channel_68,channel_69,channel_70,channel_71,channel_72,channel_73,channel_74,channel_75,channel_76
channel_1,1.0,-0.005281678868626438,-0.005661182497679313,0.01640617042360608,0.0013180338206106078,-0.008344687580606703,-0.0066093518318204635,-0.007131785154704082,-0.007849021468589767,0.714588763014074,-0.006408783222396684,0.017035736392588395,0.003535954849860794,0.0016995344702494368,-0.008998381309420031,-0.007139278076095144,-0.003322671157501074,-0.007273186308779142,-0.004885282926887927,0.00981881464383689,0.26016868327145815,0.005864136749806229,0.0026456201820037302,-0.008476425975342115,-0.008593833592590396,-0.00525370793518189,-0.004239613054511923,-0.0019177180151639158,-0.00452375878811799,0.005372027368169979,0.002836340035858202,-0.00829421634323672,0.003963056087267067,0.004330072731914189,0.009622996448868706,-0.00040139843318725903,0.006873674245041118,0.010687414231980009,-0.021738768604227354,-0.021590573844128044,-0.018739976253752573,-0.01847262400083788,-0.018579245773411468,-0.02045710998335914,0.007292015730107313,0.004702424064710396,-0.0014806289431275317,0.0044142742270237645,-0.003107721304165529,-0.003891290894288507,-0.0033770834648505633,-0.003563671161588638,0.01086348726256144,-0.025557102156348602,-0.02564869035569075,-0.0002995525210646334,0.002127862409625811,-0.007883648955079866,0.01428396987051464,0.01987810961063076,-0.002330980442605362,0.006570118927228272,-0.002229640134084477,0.001076963564968154,-0.004127248775481642,-0.00910973600791927,0.0006227931558735878,-0.003835211666249003
channel_12,-0.005281678868626438,1.0,0.9818463076170237,0.7900117375623253,0.9441329268718728,0.9510412306398021,0.9622036404734986,0.9438082126411521,0.9440712539181412,0.0008991195766474125,0.9656940439859449,0.7728222808868129,0.9463236656468945,0.9448791135138406,0.9502916802080208,0.93863203825031,0.9784944026027605,0.962442655881339,0.9414744032292544,0.8578479722843557,0.001489715357444593,0.9037769013355295,0.9457553773938446,0.9506343981883519,0.9504141322107951,0.9887905055379544,0.9798539108725792,0.970676766025025,0.9880587477578336,0.9031582520469859,0.9385228578949195,0.9501910580766908,0.05665119014589102,0.05724567930099665,0.1144497097690677,0.02867713515423589,0.057958764336879784,0.06979686865892575,0.6121510983202382,0.6556005236711719,0.6332429440557187,0.6127765974213536,0.6556597690215424,0.634340102528514,0.022074891760294594,0.0002062012518522374,0.011318946543614592,-0.09351087853792357,0.9261875532488374,0.9294146786556464,0.926629169937475,0.928696942403175,-0.9585775458589118,-0.2233798381363451,-0.22390474039931044,0.002093815233903417,0.004084508971404838,0.9325474005971667,-0.4523668414736332,-0.0618877868637131,0.0836851234190527,0.01726187758824779,0.005177477553844605,0.008483373223582833,0.0067832698391534114,-0.004682454835373782,0.0008155777803647382,0.011396011308835078
channel_13,-0.005661182497679313,0.9818463076170237,1.0,0.7956103185264956,0.9556771079485831,0.9430579879003506,0.9867138141266438,0.974650592641938,0.9620450921704329,0.0013150794300641436,0.9899446415253733,0.7793612997660727,0.9566045584098611,0.9550154860682712,0.9424435555685745,0.971829121162564,0.9678353954174117,0.9888804822321031,0.9501630336148162,0.8607758565175073,-0.0019062703140675394,0.9018923119188319,0.9562448716835782,0.9428304888162093,0.944053472493953,0.9849200589627564,0.9581577462710679,0.9455179019060289,0.9743117242566225,0.9014041697957195,0.9508870342749441,0.9439898654345694,0.06657719189686417,0.06396302021136088,0.12463550564377156,0.03704362780849774,0.06642045941174234,0.07774130868829417,0.5962872476291773,0.6408860561737225,0.618034527545826,0.597196613307726,0.6409372595830217,0.6190216956619978,0.02528874490137806,-0.0004964725329575819,0.01243985522441423,-0.08941120708622005,0.9088499347178499,0.9131999273721976,0.908156464975285,0.9121173660937038,-0.9524422161711043,-0.25039478300271717,-0.25085023176005883,0.0036838868429770973,0.005152598797947986,0.9276667157904889,-0.44308985812239515,-0.05847938906038796,0.08438307151738009,0.017520308445425837,0.007903427322199211,0.010845545580938384,0.004707656435499264,-0.004766965341350629,0.005640267919243783,0.012319731873574555
channel_14,0.01640617042360608,0.7900117375623253,0.7956103185264956,1.0,0.7929239040376314,0.7531652809638663,0.7954029848317388,0.7874906687825104,0.7694025996768576,0.016590619336955152,0.7944640743534738,0.9950509324916,0.7919391250485396,0.792945882389155,0.7536191802506522,0.7852464710961643,0.7939830383444858,0.7942375270668784,0.7830072339798041,0.9750008083206496,0.004525480328869204,0.9151143655717702,0.7923402542305633,0.7537542822898678,0.7536193517820065,0.7901096950786303,0.7775851728840982,0.7840747681341446,0.7898559837036617,0.9146039055122066,0.7978222406780219,0.7535582614313115,0.09660342783840926,0.07862057503723183,0.1436057743879382,0.06631567191807593,0.09206649423224977,0.0939789220626154,0.36233690934204543,0.41085253174422165,0.3873476931124588,0.3631789714517193,0.4116481412935121,0.38718718006451797,0.020090553750679946,0.003959229153705468,0.007514567951636858,-0.07669111509034986,0.7408993412788132,0.7408963249339017,0.738897187061397,0.7388373212332882,-0.7349801717123275,-0.33090427441085524,-0.3322416428125059,0.009295809692607586,0.004430133438237996,0.7359000398835345,-0.3250865022413458,-0.03581905073934224,0.06179392456492778,0.028558450780563526,0.014766514243653214,0.01798534210333694,0.01853453922512612,0.01380060687496842,0.027129226668696264,0.030113180985540607
channel_15,0.0013180338206106078,0.9441329268718728,0.9556771079485831,0.7929239040376314,1.0,0.8788364792249515,0.9504137077592902,0.9358192836696189,0.9139662145148358,0.006548232296605119,0.9519013933199744,0.7765876564658208,0.9907398444167606,0.9964074533902174,0.8784384630154481,0.9326255502188037,0.9413298412824516,0.9494457338102197,0.9221437436920908,0.849124882914344,0.0001326906514746768,0.9060377572371849,0.9898017990247396,0.87878660383433,0.8799480589987434,0.9488249611942147,0.9166654125723648,0.9219132671095326,0.9370794086472596,0.9058893337874938,0.9856793336032433,0.879537843042956,0.10579455518337699,0.08913759185690415,0.16078680223456954,0.06979300496951486,0.10152498902420101,0.10596685457642611,0.44209728231659756,0.49158776239922125,0.466366825166548,0.4431829163025995,0.49193037894102337,0.4677796374958547,0.030653351699584545,-0.002460480473196608,0.0051749189963065535,-0.0800598762307213,0.847352919069047,0.8505670378864675,0.846742761200992,0.849268970115811,-0.8742292311763297,-0.4568651303959487,-0.45753752140480464,0.003454420114609062,0.0035455537546421993,0.8568584456387811,-0.3764592108040582,-0.045026715744750534,0.0837218290231939,0.022333541181597662,0.010877309487830776,0.011051847002892478,0.008433705086481063,-0.0007025790490468741,0.01098290614616439,0.01772226042312373
channel_16,-0.008344687580606703,0.9510412306398021,0.9430579879003506,0.7531652809638663,0.8788364792249515,1.0,0.9362259942078066,0.9297373875020923,0.9144045125895099,-0.00021563440122206594,0.9398408473240143,0.7316605018483885,0.8669013285512611,0.8790673758308437,0.9975070410320879,0.9352630524517813,0.9351499719102058,0.9397747451370546,0.9274696841920299,0.8346217529384967,0.005783175381771632,0.9004914572520253,0.8656031412638588,0.9976409176310438,0.9974762286866893,0.9500008020989656,0.9336166180094374,0.9214769123771666,0.93310410097413,0.9001794914996349,0.8464721560868015,0.9975009549198557,0.0025836908014473577,0.018844789515659568,0.057184666498861475,-0.014516703073203643,0.007044928246871635,0.026872722854065723,0.7808625798489452,0.8152676553361221,0.7981308943899468,0.7817246985830325,0.8154378242177734,0.7992298552802438,0.013706404916477071,0.0005606798873235961,0.014518706909506929,-0.1073974901305486,0.9777369828459824,0.9817989478804394,0.9777574658687744,0.9815073559601757,-0.985679829512363,-0.02584990906060531,-0.027270258652289815,0.0027647213642529246,0.004271260347827653,0.9793517885840333,-0.5394429810225978,-0.08158720439792538,0.10625898035037035,0.0006678631188221748,0.0025192617908446186,0.010598540036730731,-0.0027401500583372276,-0.010104121797993007,-0.010709729615950122,0.0030791931856677885
channel_17,-0.0066093518318204635,0.9622036404734986,0.9867138141266438,0.7954029848317388,0.9504137077592902,0.9362259942078066,1.0,0.9811548128172347,0.9531542301464959,0.00022554101558934812,0.9926987476476697,0.7789926312542779,0.9499998744675606,0.949229161202907,0.9358139423048824,0.9868699552229275,0.9600266873615012,0.9918622082912717,0.9607467981320872,0.8604377613282486,-0.0001040246041584453,0.900813423946977,0.9495710402338634,0.936180700668913,0.937919842576014,0.9750134056019659,0.9236877190805083,0.927618506761921,0.9497140043735496,0.9002462140354219,0.944300463596813,0.9378911680659259,0.07065981971268318,0.06593285621376108,0.13034338669082982,0.04030414319577427,0.06910639285263273,0.08248450339344379,0.5965541616997265,0.6405917952819626,0.618149576603066,0.5973856214081212,0.6408636746708924,0.6193680742855786,0.025011818351118015,0.00010385084393731496,0.012091124746372816,-0.0890340689631844,0.9011660882859911,0.9063470499918573,0.8995897682868613,0.9050798731170201,-0.9444005469258129,-0.2537029437641018,-0.2541395656025844,0.0037107782090287627,0.004546537179899736,0.9208418799337416,-0.44139439253932866,-0.059206581603016006,0.08464860080904338,0.015878976521383308,0.010789789247624146,0.011102451979434913,0.0034775402123788687,-0.006726153514040017,0.007995179295282191,0.013152210135237936
channel_18,-0.007131785154704082,0.9438082126411521,0.974650592641938,0.7874906687825104,0.9358192836696189,0.9297373875020923,0.9811548128172347,1.0,0.9344676975052965,-0.00015392533125893238,0.9860080317676033,0.770902638811751,0.9336217350741042,0.9343137539333135,0.9294661160067562,0.9893480594814501,0.9463521860929801,0.9881461951578069,0.9583331978751395,0.8532341082741286,0.0011461687725188366,0.894920948551467,0.9333424459797145,0.9297137145469333,0.9315573571565736,0.9606896384778285,0.9041956268475082,0.9123747170186478,0.9238775965919602,0.8944365467641174,0.9270082533044711,0.9313579569865281,0.07008488459037614,0.06345617907625675,0.128242082675772,0.041288584520870225,0.0665896322628031,0.08148333820467675,0.6043969417233587,0.6475636400370943,0.6259556715288795,0.6053624693965654,0.6476757042940743,0.6267806644802574,0.023226045573619968,-0.002059333586687419,0.014897217020077175,-0.09027127533322891,0.8968746790973152,0.902418460659759,0.8952842206315499,0.9015026482481132,-0.9357400289479163,-0.24024109179233158,-0.2407382492138995,0.0031187068406770763,0.002150109403757845,0.9131472458989058,-0.4448324395420293,-0.059013150823447484,0.08633256708462372,0.011047003675190256,0.00995415032841519,0.01202903018449005,0.0005797619003103837,-0.0076807218827008375,0.006303082125173884,0.012542571002200022
channel_19,-0.007849021468589767,0.9440712539181412,0.9620450921704329,0.7694025996768576,0.9139662145148358,0.9144045125895099,0.9531542301464959,0.9344676975052965,1.0,-0.001675807319132354,0.9483194825896177,0.7529757467084739,0.9087895129489475,0.9132802309455712,0.9139637425802708,0.9270214386205566,0.8928763006685646,0.9494958065721443,0.859465470733091,0.835437402722244,-0.009640126460818382,0.8787181084904493,0.908286207581323,0.9142471956329529,0.9176394465756496,0.9290417871551236,0.9440932659866584,0.8594516297549242,0.9634690510652071,0.8787613903054807,0.9018619410182136,0.9172925371601699,0.03011222796988501,0.039254704414491935,0.08458750682896275,0.006515177717604251,0.03192539125571849,0.047984078868503165,0.5916236863645702,0.6330412965940823,0.6120743190521697,0.5922447420671113,0.6331859764707882,0.6128023789580214,0.024676405434191136,-0.002279850960591813,0.013094044970273059,-0.08887016384132765,0.8686707338031929,0.8711817917283765,0.867255814801374,0.8691205779628074,-0.917825278333686,-0.22532440807520518,-0.22581877203569442,0.004959198742570629,0.0026833316511697992,0.9187072803724353,-0.44751703993998093,-0.060823397740272664,0.08632268479931879,0.018454039049652603,0.005445746101101428,0.007715655612284693,0.005984462931793932,-0.0027430728284301453,0.0009854291985957144,0.012068426953588292
channel_2,0.714588763014074,0.0008991195766474125,0.0013150794300641436,0.016590619336955152,0.006548232296605119,-0.00021563440122206594,0.00022554101558934812,-0.00015392533125893238,-0.001675807319132354,1.0,0.0009298253766184878,0.01681183973164482,0.007539616699001559,0.0070468564126874,-0.00058732935872133,4.733932961338869e-05,0.002865818459388031,5.511715906825448e-05,0.001737703783320921,0.011779388377422461,0.22058598361613238,0.009407787576394194,0.007425028393772457,-0.0005377016623980199,-0.0001854689808319007,0.0013616040371062165,0.0021830070127619628,0.003853872735469795,0.0012881626597060966,0.008751149118188578,0.007468771575672433,-7.523657467486795e-05,-0.0019810483121656714,0.013397952307032765,0.008569349345604079,-0.007096208202476394,0.012383198553104113,0.008789134961114747,-0.009484339806533498,-0.009635933806278736,-0.00846186942359838,-0.010104807187956486,-0.008852422300811668,-0.007616208787867731,0.004475935648861185,0.0014103479492945559,0.005401051847924137,0.0036101444499318136,0.004683894478966186,0.004183274477051682,0.004116257508189417,0.004020243321940575,0.002262209102750427,-0.019086536650600824,-0.019159574768567094,-0.0002499921880285715,0.0017758120603178964,0.0018672723985562174,0.007228071768822939,0.017584639321564545,-0.0019453246429993248,0.007620062655080803,0.007254833115534265,0.004330361564637077,-0.0013165662719811682,-0.009444385344282229,0.003362744553881601,-0.008002763378354795
