feature_a,feature_b,pearson,spearman,pearson_2000,pearson_2001,pearson_2002
channel_12,channel_13,0.9898072321246411,0.9818463076170237,0.9769848778515515,0.9019389904243781,0.9769681252802703
channel_12,channel_16,0.9504869847486648,0.9510412306398021,0.9793953440275524,0.8571951727985906,0.9848002465431451
channel_12,channel_17,0.9758400297576282,0.9622036404734986,0.9436877158475868,0.7712383777967975,0.9483060952839514
channel_12,channel_18,0.9572676242925918,0.9438082126411521,0.8999269076071172,0.6391913379057096,0.9097427088061619
channel_12,channel_19,0.9502088341494921,0.9440712539181412,0.8932155517022438,0.6546112497688328,0.8993784010109542
channel_12,channel_20,0.9786401159454827,0.9656940439859449,0.9528304568537167,0.7840261943135317,0.9529198381940084
channel_12,channel_24,0.9498264003123855,0.9502916802080208,0.9790176011860786,0.8526734339227882,0.9842209191707437
channel_12,channel_25,0.9547170702729465,0.93863203825031,0.8926419730723592,0.60467356625912,0.9051732421607382
channel_12,channel_26,0.9850255745546296,0.9784944026027605,0.9666427895147408,0.8667343020085583,0.967244016799701
channel_12,channel_27,0.9762477470529716,0.962442655881339,0.9467319294924637,0.7645425026856445,0.9476611592090013
channel_12,channel_28,0.9541491898613438,0.9414744032292544,0.8944284307500853,0.627430021337583,0.902960247772171
channel_12,channel_32,0.9503307051083888,0.9506343981883519,0.9794224932411886,0.8560204329863573,0.9849480995836768
channel_12,channel_33,0.9512631171895469,0.9504141322107951,0.9776296215367924,0.8529325357489939,0.9848913476943957
channel_12,channel_34,0.9938491327177909,0.9887905055379544,0.9854778827556557,0.9372669101978464,0.9861099170709224
channel_12,channel_35,0.9814311904482662,0.9798539108725792,0.9571685765025886,0.8684615800702096,0.9631679245461406
channel_12,channel_36,0.9747318678054868,0.970676766025025,0.9485856204316404,0.7998326662117748,0.9473038727292982
channel_12,channel_37,0.9900492135789919,0.9880587477578336,0.9783454846909609,0.9197474613837834,0.9790034992775634
channel_12,channel_40,0.9512302943175978,0.9501910580766908,0.978050460895552,0.8504493617773944,0.984867035788705
channel_12,channel_61,-0.9654634876579138,-0.9585775458589118,-0.9788764587522096,-0.751507134778208,-0.9850920068018636
channel_13,channel_15,0.9471223730001603,0.9556771079485831,0.9655304679819573,0.7554117092045483,0.985017974860183
channel_13,channel_17,0.9908522381312856,0.9867138141266438,0.9777060713409494,0.9176606716540628,0.9792332284707513
channel_13,channel_18,0.9791914827323688,0.974650592641938,0.9502561825081207,0.8367133939905546,0.9553957112445507
channel_13,channel_19,0.9634943337407388,0.9620450921704329,0.922802686619533,0.7598894995563488,0.9276130934385464
channel_13,channel_20,0.9929309971667608,0.9899446415253733,0.9835362227788826,0.9356559712399578,0.9829231885594797
channel_13,channel_22,0.9486569136550699,0.9566045584098611,0.9589863840949117,0.7665257476056422,0.9830592616052024
channel_13,channel_23,0.9468167966783217,0.9550154860682712,0.9619612340770077,0.7549823297982582,0.9852705080247658
channel_13,channel_25,0.9780672032450405,0.971829121162564,0.9480877548602314,0.8201204818922095,0.9545807497329102
channel_13,channel_26,0.9778740113913773,0.9678353954174117,0.9481849924062027,0.7946319628065124,0.9496599330861746
channel_13,channel_27,0.9922481646893689,0.9888804822321031,0.9826586396214844,0.9262449403660122,0.9817057965467354
channel_13,channel_28,0.9605243429515639,0.9501630336148162,0.9101230573180316,0.6817002035804272,0.9155348870674532
channel_13,channel_31,0.9485713234608896,0.9562448716835782,0.9589993829534802,0.7668199347120581,0.9827931850181817
channel_13,channel_34,0.9917586022087453,0.9849200589627564,0.9809992447481917,0.9175142438968196,0.9813313978464167
channel_13,channel_35,0.965582970637134,0.9581577462710679,0.9223337703503988,0.737941036106207,0.9313553230220394
channel_13,channel_36,0.956142945739497,0.9455179019060289,0.9068050760546007,0.6331222499800859,0.9052060926681935
channel_13,channel_37,0.9801075421369433,0.9743117242566225,0.9568950569777548,0.8205575152122833,0.9554809867565012
channel_13,channel_39,0.9410985896609154,0.9508870342749441,0.9611874043751902,0.7594645642689929,0.9823425590371074
channel_13,channel_61,-0.9607254985755667,-0.9524422161711043,-0.9838090520215299,-0.727683411937602,-0.9884436456699365
channel_14,channel_21,0.9966497658922228,0.9950509324916,0.991152460323039,0.9917635889438114,0.994707838998856
channel_14,channel_29,0.9835440447804755,0.9750008083206496,0.9542063053503143,0.9608226512827921,0.9759182557084397
channel_15,channel_17,0.9435887504773786,0.9504137077592902,0.9539096643065487,0.7188837760990889,0.9744360569174164
channel_15,channel_20,0.9442420316058611,0.9519013933199744,0.9580873021078617,0.728449053379204,0.9775712234964433
channel_15,channel_22,0.9964766043603634,0.9907398444167606,0.9879167817375347,0.9837896722942415,0.9950415774933267
channel_15,channel_23,0.9982747060118302,0.9964074533902174,0.9862707721225002,0.9940531397106106,0.9968500206426693
channel_15,channel_31,0.9962926480483204,0.9898017990247396,0.9884606385429872,0.9827420307718845,0.9947207992345349
channel_15,channel_39,0.9954130338222364,0.9856793336032433,0.987590978083336,0.9817525637378866,0.9946367332383587
channel_16,channel_24,0.9981018046659809,0.9975070410320879,0.9931002892649928,0.9736059898739815,0.9963315604118409
channel_16,channel_32,0.9982594114291151,0.9976409176310438,0.9932459052869548,0.9776895246674565,0.9966159107195766
channel_16,channel_33,0.9982155971412782,0.9974762286866893,0.9925695424057585,0.9763837107801238,0.9968962779645365
channel_16,channel_34,0.9506782979121311,0.9500008020989656,0.9837466565686384,0.8688829332430347,0.9901747073331156
channel_16,channel_40,0.9982679723066734,0.9975009549198557,0.9932546853396906,0.9749912067058141,0.9970107696272944
channel_16,channel_57,0.9837411547031026,0.9777369828459824,0.9244579359971339,0.8884717183786053,0.9720469095849814
channel_16,channel_58,0.9864739818034348,0.9817989478804394,0.9391996318836487,0.8960455655573373,0.9777172007406045
channel_16,channel_59,0.9844259201273731,0.9777574658687744,0.9243785026929551,0.8993754322003263,0.9726918222159108
channel_16,channel_60,0.9860208694504073,0.9815073559601757,0.9374474895683518,0.8941193807642038,0.9765191882926851
channel_16,channel_61,-0.9809248940229418,-0.985679829512363,-0.9783111551795624,-0.8982317992398777,-0.9928379104974239
channel_16,channel_66,0.9809354978149238,0.9793517885840333,0.9381602880253542,0.7593669013222775,0.9721707916416571
channel_17,channel_18,0.9841081689770688,0.9811548128172347,0.9623994576516225,0.8728941519770685,0.9674105900761413
channel_17,channel_19,0.957120514074419,0.9531542301464959,0.9090220453644496,0.7155635695434949,0.9134886468682563
channel_17,channel_20,0.9945108819445473,0.9926987476476697,0.9856752082151636,0.9542796580546168,0.9878975790202599
channel_17,channel_25,0.9892079151331575,0.9868699552229275,0.9749970066999765,0.9143166146412757,0.9800295232232572
channel_17,channel_26,0.9702371611676565,0.9600266873615012,0.9295161519781636,0.727880416389211,0.935040194566977
channel_17,channel_27,0.9939768398962685,0.9918622082912717,0.9849436469198931,0.9424458742765164,0.9880801619051497
channel_17,channel_28,0.9667370025243489,0.9607467981320872,0.9255948888153087,0.7307903927421737,0.9317329226790724
channel_17,channel_34,0.9839516076877551,0.9750134056019659,0.9623661126516935,0.8433670056884641,0.9663923486589322
channel_17,channel_37,0.9610105634030467,0.9497140043735496,0.9137894592759694,0.6557740489112657,0.9139056288460122
channel_17,channel_61,-0.9526801411874534,-0.9444005469258129,-0.9683574162047844,-0.6753242120661491,-0.9764229079848774
channel_18,channel_20,0.9877624025434599,0.9860080317676033,0.9694765669395015,0.9116937222609607,0.9742978166236582
channel_18,channel_25,0.990824606039017,0.9893480594814501,0.9793173823294624,0.9301270951486007,0.9813488685232229
channel_18,channel_26,0.9551213834976102,0.9463521860929801,0.8946945039953003,0.6372647000089864,0.9049177290498683
channel_18,channel_27,0.9897788849410514,0.9881461951578069,0.9745388399474353,0.922963928589336,0.979488912807327
channel_18,channel_28,0.9623991369667946,0.9583331978751395,0.9162297267983559,0.7180739367649294,0.9220779303809793
channel_18,channel_34,0.9695752858712654,0.9606896384778285,0.9283524469022157,0.7436469282795403,0.936163621733662
channel_19,channel_20,0.9527540257256186,0.9483194825896177,0.8986142572154734,0.6764814320017667,0.9055471571820054
channel_19,channel_27,0.9538263145889005,0.9494958065721443,0.9054732855575776,0.6721494018017063,0.9071681236082932
channel_19,channel_37,0.9656548418925355,0.9634690510652071,0.9300926990268894,0.7698941510746683,0.9309106022796172
channel_20,channel_22,0.945329816953521,0.9516831050810552,0.9504915456940113,0.7355697111116555,0.9742511486867422
channel_20,channel_23,0.9436600647741765,0.9507351987066884,0.9532299881289107,0.7263601064147185,0.9773431112045706
channel_20,channel_25,0.9898981013723577,0.9880238255607419,0.9746250854590437,0.9276458433902597,0.9803443189971798
channel_20,channel_26,0.9737594597481135,0.964326704253926,0.9405343504291916,0.7524602487473322,0.941345540948412
channel_20,channel_27,0.9959651950306102,0.9949570740622832,0.9895904110386896,0.9652347611171778,0.9911678299123422
channel_20,channel_28,0.9704132062623804,0.965004378055925,0.933935129450404,0.7646192696570787,0.9376169234651746
channel_20,channel_31,0.9452140491662635,0.951279061366846,0.9506669355467386,0.7350513605449537,0.9739745862716113
channel_20,channel_34,0.9869523730374313,0.9792475912059572,0.971057573950461,0.8653422764327824,0.971422723805172
channel_20,channel_37,0.9618440658382655,0.95060410004012,0.9185199083096126,0.6470768364315435,0.9156824949937374
channel_20,channel_61,-0.956380585906381,-0.948335578770033,-0.9750273534835946,-0.6885682199254058,-0.9797890724514116
channel_21,channel_29,0.9790364396656224,0.9697662423548756,0.947669515493055,0.9632362625007923,0.9676206959298912
channel_22,channel_23,0.9964197056993551,0.9904977475140969,0.9849156745943984,0.9836405598735295,0.9955292657243915
channel_22,channel_31,0.9983742797746713,0.9954856512959904,0.991214105838092,0.9924025937394978,0.9967977666224151
channel_22,channel_34,0.9434930678104367,0.952046783592227,0.9591092105462553,0.7305224102875185,0.9854021681757749
channel_22,channel_39,0.9978727457805465,0.9939993583168144,0.9896090114736327,0.9924829640851479,0.9967461193853695
channel_23,channel_31,0.9963056271710071,0.989761931350679,0.9856989319291836,0.9827398373549996,0.9954707561707282
channel_23,channel_39,0.9954261315426248,0.9855986832948828,0.9852096104950393,0.9815578716150056,0.9953461664119251
channel_24,channel_32,0.9981448279755125,0.9974615751033028,0.9934500217055662,0.973011539945124,0.9964381049836992
channel_24,channel_33,0.998101453643222,0.9972591003292104,0.9929424748995492,0.9719525237104577,0.9966608750844372
channel_24,channel_34,0.9500769932955487,0.9494115324567467,0.9833314239412192,0.8652800753600072,0.9898301381666634
channel_24,channel_40,0.9981633175824821,0.99731127296895,0.9935726029105136,0.9714618754018117,0.9967551544752206
channel_24,channel_57,0.9835710200732631,0.9776955511784287,0.924818299970979,0.886455035578949,0.9715518137304601
channel_24,channel_58,0.9863555878510671,0.9817849494007492,0.9392211661125476,0.8953659311921728,0.977406691280776
channel_24,channel_59,0.9842553600798761,0.9776717013624274,0.9246016476670341,0.8969410005223212,0.9722659451376604
channel_24,channel_60,0.9858903866686315,0.9814522363156339,0.9376961148007046,0.8928912844747301,0.9761190781448414
channel_24,channel_61,-0.9804808597910161,-0.985258974758056,-0.9771811729676381,-0.8961885808925869,-0.9925360572685331
channel_24,channel_66,0.9806848035369662,0.9790591471367968,0.9376108412316572,0.7556399282672099,0.9717116585863773
channel_25,channel_26,0.9567825880711751,0.9471487153074121,0.8993993842477952,0.6448636476391173,0.9102916100935674
